fromService,fromRegion,fromLabel,toService,toRegion,toLabel
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.execution.client.trade.captured.remote,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.venue.execution.events.remote,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.venue.order.events.remote,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.fx.gtpn.bridge.payout.order.v2.1,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.execution.execution.events.remote,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.execution.aggregation.events.remote,unknown,MessageQueue
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.execution.trade.captured.remote,unknown,MessageQueue
ali-prod-tk-hedger,tk,Service,kafka:awx-hedger-rebuild-aggregation-replay-store-changelog,unknown,MessageQueue
ali-prod-tk-jsb-ct-adapter,tk,Service,kafka:awx.pricing.lp_price.live,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx-ledger-feed-execution-store-changelog,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx-ledger-feed-client-trade-store-changelog,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx-ledger-feed-aggregation-store-changelog,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.entrepot.blotter.events,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.client.trade.captured,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx-ledger-feed-trade-store-changelog,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.aggregation.events,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.trade.captured,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.risk.order.status.events,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.trade.captured.entrepot,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.position.adjustment,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.execution.keyed.execution.events,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx.fx.ledger.feed.events,unknown,MessageQueue
ali-prod-tk-ledger-feed,tk,Service,kafka:awx-ledger-feed-entrepot-trade-store-changelog,unknown,MessageQueue
ali-prod-tk-liquidity-engine,tk,Service,kafka:awx.fx.liquidity.engine.rekeyed.entrepot.blotter,unknown,MessageQueue
ali-prod-tk-liquidity-engine,tk,Service,kafka:liquidity-engine-entrepot.liquidity.engine.state-changelog,unknown,MessageQueue
ali-prod-tk-liquidity-engine,tk,Service,kafka:awx.fx.liquidity.engine.rekeyed.entrepot.position,unknown,MessageQueue
ali-prod-tk-lp-price-publisher,tk,Service,kafka:awx.pricing.lp_price.live,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx.execution.blotter.events,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-net-position-stream-v2-net-position-store-repartition,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx.execution.execution.events.remote.rekeyed,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-treasury-position-blotter-treasury-position-store-changelog,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx.execution.position.v2,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-risk-position-blotter-risk-position-store-v2-changelog,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx.execution.blotter.position.risk,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-client-position-blotter-client-position-store-repartition,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-client-position-blotter-client-position-store-changelog,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-net-position-stream-v2-net-position-store-changelog,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx.execution.blotter.position.client,unknown,MessageQueue
ali-prod-tk-position-keeper,tk,Service,kafka:awx-risk-position-blotter-risk-position-store-v2-repartition,unknown,MessageQueue
ali-prod-tk-price-event-service,tk,Service,kafka:awx.pricing.lp_price.summary,unknown,MessageQueue
ali-prod-tk-price-event-service,tk,Service,postgresql:pricing_engine,unknown,DB
ali-prod-tk-price-event-service,tk,Service,postgresql:pricing,unknown,DB
ali-prod-tk-price-event-service,tk,Service,kafka:awx.observable.fwd.curves.and.prices,unknown,MessageQueue
ali-prod-tk-price-monitor,tk,Service,kafka:awx.notification.alert_event,unknown,MessageQueue
ali-prod-tk-pricing-api,tk,Service,kafka:awx.notification.alert_event,unknown,MessageQueue
ali-prod-tk-pricing-api,tk,Service,finance-client-wallet-v2,hk,Service
ali-prod-tk-pricing-engine,tk,Service,kafka:awx.pricing.price.spot.v2,unknown,MessageQueue
ali-prod-tk-ref-rates-feed,tk,Service,kafka:ref-rates-consumer-SCB_S2BX-KTABLE-SUPPRESS-STATE-STORE-0000000005-changelog,unknown,MessageQueue
ali-prod-tk-ref-rates-feed,tk,Service,kafka:ref-rates-consumer-SCB_S2BX-reference-rate-window-store-changelog,unknown,MessageQueue
ali-prod-tk-ref-rates-feed-eu,tk,Service,kafka:ref-rates-consumer-eu-SCB_S2BX-KTABLE-SUPPRESS-STATE-STORE-0000000005-changelog,unknown,MessageQueue
ali-prod-tk-ref-rates-feed-eu,tk,Service,kafka:ref-rates-consumer-eu-SCB_S2BX-reference-rate-window-store-changelog,unknown,MessageQueue
ali-prod-tk-timeseries-api,tk,Service,postgresql:pricing_engine,unknown,DB
ali-prod-tk-timeseries-api,tk,Service,postgresql:pricing,unknown,DB
ali-prod-tk-trade-event-service,tk,Service,postgresql:position_adjustments,unknown,DB
ali-prod-tk-trade-event-service,tk,Service,postgresql:entrepots,unknown,DB
ali-prod-tk-trade-event-service,tk,Service,postgresql:trade_events,unknown,DB
ali-prod-tk-trade-event-transformer,tk,Service,kafka:awx.execution.trade.captured,unknown,MessageQueue
ali-prod-tk-trade-event-transformer,tk,Service,kafka:awx.execution.trade.captured.all,unknown,MessageQueue
ali-prod-tk-trade-event-transformer,tk,Service,kafka:awx.execution.trade.captured.entrepot,unknown,MessageQueue
ali-prod-tk-trading-api,tk,Service,kafka:awx.execution.client.trade.captured,unknown,MessageQueue
ali-prod-tk-visa-fx-adapter,tk,Service,kafka:awx.pricing.lp_price.reference,unknown,MessageQueue
amazonpaymentproviderservice,hk,Service,postgresql:amazonpaymentproviderservice,hk,DB
amazonpsppenrollment,hk,Service,awx-account-service,alihk,Service
amazonpsppenrollment,sg,Service,postgresql:amazonpsppenrollment,sg,DB
